who,Text,target,
Emmanuel Macron,"Il ne faut pas, en sortie de crise, qu'on se mette à l'oublier en pensant qu'on pourrait passer à un autre monde.",problem,
Emmanuel Macron,C'est une force inouïe.,other,
Emmanuel Macron,Et on aura d'autres crises de manière certaine.,other,
Emmanuel Macron,"Et donc tout ce que nous devons penser pour la France de 2030 doit contribuer aussi à renforcer ce modèle qui est un modèle à la fois productif et solidariste, je dirais, mais qui est important, avec des équilibres qu'il faut constamment réajuster, qui sont des choix démocratiquement débattus.",solution,
Emmanuel Macron,"Et puis la quatrième leçon de cette pandémie, à mes yeux, c'est que nous avons assisté à une extraordinaire accélération de l'innovation.",solution,
Emmanuel Macron,"J'y reviendrai sans doute à plusieurs reprises, c'est ce qui a aussi pour moi présidé au choix en sortie de crise, de vous proposer collectivement et d'essayer de nous projeter collectivement à 2030.",solution,
Emmanuel Macron,"C'est que nous avons, une fois encore, mais là, de la manière peut-être la plus vibrante, déjoué tous les pronostics scientifiques.",other,
Emmanuel Macron,"Je ne l'oublie pas, il faut toujours être lucide sur ses propres défauts et les choses qu'on a parfois faites de manière approximative.",other,
Emmanuel Macron,"Il y a à peu près un an, j'expliquais à nos compatriotes “Moi, les spécialistes me disent il y a très peu de chance qu'on ait un vaccin avant la fin de l'année.” C'était vraiment ce que les spécialistes me disaient.",problem,
Emmanuel Macron,"Parce qu'on ne me disait : “Jamais dans l'histoire de l'humanité, on a trouvé un vaccin en un an de temps.",problem,
Emmanuel Macron,Ce n'est jamais arrivé”.,other,
Emmanuel Macron,Ce qui était vrai.,other,
Emmanuel Macron,"On l'a fait, et il y a eu dans les dernières semaines de l'année 2020 une accélération exceptionnelle.",solution,
Emmanuel Macron,"Je pense que tous ceux qui l'ont vécu s'en souviennent, on a, d'un seul coup, écrasé tous les délais.",solution,
Emmanuel Macron,"Donc la quatrième leçon de la crise pour moi, c'est que l'innovation est une source de solution pour mieux vivre, pour projeter une nation, un continent et peut-être le monde entier, vers des solutions qui sont bonnes pour l'humanité mais qu'en quelque sorte, les contraintes de l'innovation dans lesquelles on vivait jusqu'à présent sont en train de changer pour une forme d'accélération, de compression du temps, d'accumulation des moyens qui peuvent être mis à un moment donné, si on considère que cette innovation est une innovation qui peut tout changer.",solution,
Emmanuel Macron,"Et à ce moment-là, c'est assez simple : vous êtes dedans, vous êtes dehors.",other,
Emmanuel Macron,"Je dirais que c'est la cinquième leçon de la crise, il faut s'en féliciter, c'est qu'on a su recréer de la coopération internationale et européenne pour rester dedans parce que, soyons lucides sur nous-mêmes, si nous n'avions dépendu que de ce que la France aurait produit, je le dis pour tous ceux qui plaident le nationalisme excessif, la France ne produit pas de vaccins et elle ne produit toujours pas de vaccins ARN messager.",solution,
Emmanuel Macron,"Donc c'est parce qu'on a su participer à la coopération internationale qu'il y a eu cette compression de l'innovation extraordinaire grâce à de très grands scientifiques français travaillant à travers le monde, mais qu'on a su ensuite recréer de la coopération pour acheter et reproduire en Europe et le distribuer à nos compatriotes.",solution,
Emmanuel Macron,"C'est cela les 5 leçons de la crise, il ne faut pas les perdre de vue quand on veut se projeter.",other,
Emmanuel Macron,"Une fois que je dis ça, on voit bien qu'on est dans un monde qui est en rupture profonde et au fond, dont l'une des grandes caractéristiques que nous ne devons pas oublier ce qui fait notre force, je veux dire un pays qui retrouve aussi le fil du couple innover/produire parce que la production de demain n'est pas celle d'hier.",solution,
Emmanuel Macron,"Et donc, par rapport à ce que je dis aussi, je suis convaincu que le levier de l'innovation est clé pour produire parce qu'il faut, en la matière, n'avoir aucune nostalgie.",solution,
Emmanuel Macron,"Il n'est pas vrai que quand je dis qu'on doit travailler plus et produire plus, on ne fera ni l'agroalimentaire, ni l'industrie, ni les services d'hier, et encore moins ceux d'aujourd'hui.",problem,
Emmanuel Macron,Ils sont en train de se transformer à marche forcée.,problem,
Emmanuel Macron,"La question, c'est comment nous sommes à la pointe de l'invention de ces derniers.",solution,
Emmanuel Macron,"C'est le seul moyen, en même temps qu'on saisit les défis que j'évoque, d'être à la hauteur du mal français qui est notre triple déficit : déficit de croissance potentielle, déficit public, déficit du commerce extérieur.",solution,
Emmanuel Macron,Ce triple déficit se nourrit depuis des décennies.,problem,
Emmanuel Macron,"La clé pour y répondre, c'est d'avoir une stratégie macroéconomique d'innovation industrielle qui permette justement de produire ces résultats.",solution,
Emmanuel Macron,"Alors, on ne part pas de nulle part.",other,
Emmanuel Macron,"Depuis un peu plus de 4 années, je crois qu'on essaie profondément d'avoir une stratégie qui réponde d'abord à ce constat, ces grandes transformations et qui, si je puis dire, parte de ce socle de raisonnement et qui commence à produire des résultats d'avant depuis 4 ans transformés, commencer à transformer notre système éducatif, d'accès à l'enseignement supérieur, d'apprentissage et de formation professionnelle, d'accès au travail, à l'emploi.",solution,
Emmanuel Macron,On continue avec la réforme de l'assurance chômage.,solution,
Emmanuel Macron,"On a réformé la fiscalité du capital très profondément et on a mis en place des réformes du travail, plus des réformes sectorielles.",solution,
Emmanuel Macron,Tout ça produit des résultats qui sont très tangibles et qui vont dans la bonne direction.,solution,
Emmanuel Macron,La France est redevenue depuis 2 ans le pays le plus attractif d'Europe.,solution,
Emmanuel Macron,"La France recrée des emplois industriels depuis 2 ans, alors qu'elle en détruisait depuis 2008.",solution,
Emmanuel Macron,La France est aujourd'hui en sortie de crise à un niveau d'emplois qu'elle n'avait pas connu depuis 15 ans.,solution,
Emmanuel Macron,"Et nous avons atteint un niveau d'apprentis et d'alternants que nous n'avions jamais connu, plus de 500 000 malgré la crise.",solution,
Emmanuel Macron,"Je ne veux pas ici égrener les choses, mais on voit bien que les choses sont en train de se transformer dans la bonne direction, qui est le fruit d'une stratégie macroéconomique qui reposait sur ces constats, qui produit des résultats et qui va dans la bonne direction.",solution,
Emmanuel Macron,"Et il faut s'en féliciter, il faut le consolider.",other,
Emmanuel Macron,"De la même manière, on s'est mis à réinvestir sur la recherche et l'enseignement supérieur.",solution,
Emmanuel Macron,"Il y a des vraies réformes organisationnelles qui sont portées par nos universités, nos organismes de recherche.",solution,
Emmanuel Macron,"Le classement de Shanghai, qui est ressorti cet été, montre qu'on est quand même en train de revenir complètement dans la bataille.",solution,
Emmanuel Macron,"Donc les résultats sont là, ils sont dans la bonne direction et ces résultats n'ont pas été fragilisés par la crise parce que nous avons à la fois eu un programme d'urgence pendant la crise, que le Gouvernement a porté et je l'en remercie, puis un programme de relance qui a été très coordonné au niveau européen, plan de relance européen et plan de relance français qu'il déclinait, qui a permis de consolider ces résultats et même d'accélérer la sortie de crise autour de trois piliers : la transition numérique, la transition écologique, la cohésion sociale et territoriale sur les 100 milliards français, dont 70 milliards sont déjà engagés.",solution,
Emmanuel Macron,"Dans ce cadre-là, nous avons même commencé à tirer les leçons de la crise telle que je l'ai évoqué, puisque le plan France relance est un plan qui, en accélérant les transitions qu'on avait fait, permet aussi de relocaliser et de rebaptiser un début de souveraineté.",solution,
Emmanuel Macron,"On a une composante robotique, on a une composante protéine qui est très importante et qui est plébiscité par le monde agricole.",solution,
Emmanuel Macron,"On a une composante santé, on se remet à produire du paracétamol en France, qu'on avait complètement abandonné ces dernières années.",solution,
Emmanuel Macron,"Donc, tout cela est cohérent, va dans la bonne direction, et est le fruit, je pense, d'un travail consolidé durant ces dernières années qui est celui du Gouvernement, des parlementaires et de l'ensemble des parties prenantes que vous êtes.",solution,
Emmanuel Macron,"Néanmoins, l'extraordinaire accélération du monde que nous sommes en train de vivre m'a conduit à penser que tout ce qu'on a fait là n'est pas suffisant et que si on reste à ce rythme et à ce niveau d'intensité, parce que nous avons aussi pris ces décisions parfois 15 à 20 ans après certains de nos voisins européens, nous ne rattraperons pas notre retard ou surtout, nous nous laisserons distancer dans les 10 ou 15 ans qui viennent.",problem,
Emmanuel Macron,"Et donc, forts des constats que je viens d'évoquer, de tout ce qui a été fait, qui va dans la bonne direction, je pense que la stratégie 2030, elle, s'impose aujourd'hui parce qu'en raison des grands défis que j'évoquais et en quelque sorte de cette sortie de crise, nous vivons une extraordinaire accélération du monde de l'innovation et des ruptures.",solution,
Emmanuel Macron,Et cette accélération me conduit à établir quelques convictions fortes que je vais ici exprimer et qui vont présider à cette stratégie.,other,
Emmanuel Macron,"La première conviction, c'est un peu le fruit de ce qu'on a tous vécu pendant la crise et ce qu'on avait commencé à vivre avant, c'est au fond qu'innovations de rupture, innovation technologique et industrialisation sont beaucoup plus liés qu'on ne l'avait intuité jusqu'alors.",solution,
Emmanuel Macron,"On avait dans nos débats politiques, intellectuels, théoriques, souvent séparés ces sujets.",other,
Emmanuel Macron,Et je pense qu'il faut tirer le constat que nous nous sommes trompés sur ce point.,other,
Emmanuel Macron,"D'abord, la France a longtemps pensé qu'elle pouvait se désindustrialiser en continuant à être une grande nation d'innovation et de production.",problem,
Emmanuel Macron,"Je crois que maintenant, il est établi que c'est faux.",other,
Emmanuel Macron,"Quand on se désindustrialise, on perd de la capacité à tirer de l'innovation dans l'industrie et donc de l'innovation, même incrémentale, et c'est celle-ci qui nourrit le dialogue avec les innovations de rupture.",problem,
Emmanuel Macron,C'est un continuum où tout se tient.,other,
Emmanuel Macron,Beaucoup plus que les débats ne l'avaient montré jusqu'alors.,other,
Emmanuel Macron,"Je parle ici sous le contrôle d'économistes industriels qui l'ont montré avant moi et beaucoup mieux que moi, mais c'est la réalité.",other,
Emmanuel Macron,"Et donc, je crois que maintenant, c'est établi et on l'a vécu parce que sur le plan de la santé, nous avons laissé notre tissu d'industries pharmaceutiques flétrir, c'est une des raisons pour lesquelles nous avons, il faut bien le dire, une innovation en santé qui a perdu des rangs au niveau de la compétition internationale.",problem,
Emmanuel Macron,"Et donc, c'est un continuum.",other,
Emmanuel Macron,"S'il n'y a pas d'industrie, si on ne réindustrialise pas le pays, il n'est pas vrai qu'on pourra redevenir une grande nation d'innovation et même de recherche.",solution,
Emmanuel Macron,Et aussi parce que c'est ce qu'on produit avec l'innovation industrielle et ses débouchés qu'on peut financer une recherche fondamentale.,solution,
Emmanuel Macron,"Ensuite, tout cela est lié, si je puis dire, dans l'autre sens, parce que l'innovation de rupture a complètement comprimé son temps entre l'invention et son industrialisation.",problem,
Emmanuel Macron,"Et au fond, toute l'organisation internationale est ainsi faite que l'ensemble des acteurs partout dans le monde sont en compétition instantanée, pour en quelque sorte réduire le temps qu'il y a entre l'idée géniale et l'idée de rupture et la possibilité pour que celle-ci change les pratiques.",solution,
Emmanuel Macron,Et cela touche tous les segments qui sont ici présents.,other,
Emmanuel Macron,"Nos grandes pharmas qui sont ici, là, nos grands groupes de métallurgie, on le sait.",other,
Emmanuel Macron,"Et tout ça, c'est une compression du temps, mais c'est aussi une accumulation du capital et des batailles.",problem,
Emmanuel Macron,"Et donc, cette conviction a un point clé, ça veut dire qu'il faut qu'on mène en même temps la bataille de l'innovation et de l'industrialisation, on ne peut pas choisir, il faut les mener ensemble.",solution,
Emmanuel Macron,"Et ça veut dire qu'il faut qu'on mette beaucoup d'argent public et privé parce que le gagnant prend tout, comme disent les Anglo-Saxons.",solution,
Emmanuel Macron,"Et donc, c'est là où il y a une hyper concentration du capital et des talents que les choses se font et que vous êtes dans la partie ou que vous êtes sortis de la partie.",problem,
Emmanuel Macron,Et donc nos quantum aujourd'hui ne fonctionnent pas.,problem,
Emmanuel Macron,"Donc, ça, c'est ma première conviction très forte, c'est qu'on doit vraiment sortir de cette opposition entre recherche fondamentale, recherche incrémentale et technologique et industrialisation massive, et essayer de comprimer tout ça.",solution,***
Emmanuel Macron,Mais c'est parce que je crois profondément dans le moment que vit notre pays en sortie de crise.,solution,
Emmanuel Macron,"D'abord parce qu'il y a une accélération du monde et des transformations qui l'exige, et ensuite parce que je pense que nous ne devons céder ni à un court-termisme qui fait perdre tout sens à l'action publique, ni à une vision de long terme qui, en quelque sorte, nourrirait une forme de défaitisme.",problem,
Emmanuel Macron,Je crois dans un volontarisme lucide.,solution,
Emmanuel Macron,"Je pense que la France est une grande nation qui a toujours été au rendez-vous de son histoire, toujours.",other,
Emmanuel Macron,Même de manière extraordinairement inattendue.,other,
Emmanuel Macron,Parce que nous avons l'esprit de résistance et l'esprit de conquête.,solution,
Emmanuel Macron,J'ai défini les termes de ce défi.,other,
Emmanuel Macron,Je pense que nous avons les moyens de le prendre.,other,
Emmanuel Macron,"Mais tout le monde a une part à y jouer : les étudiants ici présents, les chercheurs, les enseignants, les entrepreneurs, les investisseurs, les fonctionnaires, les responsables politiques, tout le monde dans sa part.",solution,
Emmanuel Macron,"Si nous nous mettons en quelque sorte tous en ligne pour dire “La France doit redevenir une grande nation qui choisit son destin et qui apporte sa contribution au monde pour mieux vivre face à ces défis.” On commençait avec des défis qui pouvaient avoir quelque chose d'accablant, je crois que nous pouvons terminer avec quelque chose qui relève du rêve possible, de l'ambition faisable, en tout cas de celle que je veux que, collectivement, nous nous donnions à nous-mêmes pour notre nation.",solution,
Emmanuel Macron,Je vous remercie.,other,
Emmanuel Macron,Vive la République et vive la France !.,other,
n_arthaud,RT @n_arthaud: #Sarkozy est il toujours d’accord avec Sarkozy ?,other,
n_arthaud,https://t.co/9fXRH0AO81,other,
jclagarde,Notre ami Sénateur @OlivierCadic @UDI_off a été brillamment réélu pour représenter les français de l’étranger au Parlement.,other,
jclagarde,Bravo à lui et félicitations aux électeurs pour cet excellent choix!,other,
EricPiolle,"Quel honneur de recevoir @JouannyFlo, multi-médaillé aux Jeux de Tokyo.",other,
EricPiolle,"Des routes des alpes jusqu'au toit de l'olympe, un parcours inspirant pour toutes et tous !",other,
EricPiolle,#Tokyo2020 🥇🥈🥉 https://t.co/T31rR2OEEg,other,
JM_Governatori,Les élections allemandes confirment la force du projet écologiste.,other,
JM_Governatori,L’ouverture politique des Verts allemands leur permet de décider qui gouvernera la 1ère puissance européenne.,other,
JM_Governatori,https://t.co/Mj1MDYVPD2,other,
n_arthaud,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Le ""couple franco-allemand"" après les élections en #Allemagne ?",problem,
n_arthaud,Toujours la guerre économique…,problem,
n_arthaud,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Comment concilier accueil des #migrants et respect des travailleurs ""nationaux"" ?",problem,
n_arthaud,👉 Ce ne son…,other,
n_arthaud,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Qu'est-ce qui vous distingue des candidatures du PCF ou du NPA ?",other,
n_arthaud,Qu'est-ce qu'être communiste…,other,
n_arthaud,"RT @LutteOuvriere: @n_arthaud sur @TV5MONDE :
Je combats #Zemmour, #MarineLePen : ce sont des ennemis des travailleurs, c'est le poison de…",other,
laurentwauquiez,"Ramener l’activité chez nous et limiter les importations, c’est le premier développement durable.",solution,
laurentwauquiez,"Relocaliser, c'est la priorité du mandat.",solution,
laurentwauquiez,C'est ce que nous voulons avec la filière vélos.,solution,
laurentwauquiez,"Non, les vélos fabriqués en France ne sont pas une nostalgie.",solution,
laurentwauquiez,"Ici, nous relevons le défi.",other,
laurentwauquiez,https://t.co/JL7sEYq6jR,other,
laurentwauquiez,Davy Tissot et la Team France ramènent le Bocuse d’Or chez nous !,other,
laurentwauquiez,Immense fierté pour la Région d'avoir été le premier soutien de Davy quand il en avait besoin.,other,
laurentwauquiez,"Bravo à toute l’équipe d’avoir porté aussi haut les couleurs de notre région, de notre pays et de notre gastronomie !",other,
laurentwauquiez,https://t.co/FTB0FxjodC,other,
AnasseKazib,"RT @RevPermanente: [DIRECT] Plusieurs centaines de personne au rassemblement Place de la République à Paris en soutien aux #Ouïghours, inte…",problem,
AnasseKazib,"RT @RevPermanente: « Le gvt chinois opprime et massacre le peuple ouïghour dans l’indifférence totale des grandes puissances, pcq de la mêm…",problem,
AnasseKazib,RT @laveritepradama: Solidarité avec le peuple Ouïgour à Paris sur la Place de la République avec l'intervention d'Assa Traoré ✊ https://t.…,problem,
JaclineMouraud,⁦@EmmanuelMacron⁩ nomme Agnes Buzyn directrice de la nouvelle académie de l'OMS.,other,
JaclineMouraud,"Ben voyons, elle est pas belle la vie ?",other,
JaclineMouraud,Mise à l’abri?,other,
JaclineMouraud,Protection?,other,
JaclineMouraud,De qui se moque-t-on?,other,
JaclineMouraud,#JMLaFrance  https://t.co/XN092QNMxW,other,
AnasseKazib,RT @RevPermanente: Le 5 octobre prochain l’intersyndicale appelle à une date de mobilisation nationale.,other,
AnasseKazib,Une échéance qui arrive tard et en…,other,
PhilippePoutou,RT @NPA13_: Lundi 11 octobre 18h30 réunion publique à Marseille avec @PhilippePoutou !,other,
PhilippePoutou,{contactez-nous pour plus d’informations} https://…,other,
BrunoRetailleau,Je salue la décision d’Emmanuel Macron de limiter les visas en provenance du Maghreb.,other,
BrunoRetailleau,C’est fou comme les problèmes sont de plus en plus facile à régler à mesure que la présidentielle approche…,other,
JaclineMouraud,Taux d’abstention de nos représentants à l’@AssembleeNat.,other,
JaclineMouraud,"Avec 28 voies sur 577 députés, le gouvernement a réussi à faire passer « en force » une loi sur la surveillance par drone.",other,
JaclineMouraud,Où sont les représentants de la Nation?,other,
JaclineMouraud,Ils avaient piscine?,other,
JaclineMouraud,#JMLaFrance https://t.co/jefjHexdFQ,other,
jclagarde,"Face à un tel incident lors d’une réception par le Chef de l’Etat,  une enquête s’impose pour en expliquer les causes et des excuses et une réaction de l’Élysée sont attendues.",other,
jclagarde,"@Évincé du dîner des grands chefs à Lyon, le chef Martiniquais Marcel Ravin, https://t.co/iVkKnTGzt9",other,
MichelBarnier,À Londres pour la sortie en anglais de mon journal du #Brexit.,other,
MichelBarnier,Heureux de dialoguer avec 1000 auditeurs et étudiants de @LSEnews.,other,
MichelBarnier,"Dans chacun de nos pays, nous n’avons pas fini de tirer les leçons du Brexit…
Merci à Minouche Shafik et Kevin Featherstone pour leur accueil.",other,
